"Специализация	Название	Код продукта"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – Botnet C&C URL 	7969"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – URL & Hash & Mobile Threat & IP Reputation 	7970"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – Transforms for Maltego XM/Classic 	7971"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Botnet Tracking	7972"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - URL & Hash & Mobile Threat feeds 	7975"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky CyberTrace: Community Edition	8611"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky CyberTrace: Matching Engine	8612"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky CyberTrace: TIP Enterprise 5M IOC	8613"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky CyberTrace: TIP Enterprise	8614"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky CyberTrace: Matching Engine MSSP Edition	8617"
"SASE (SDWAN/NGFW)	Kaspersky NGFW Пилотная версия 	4076"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-3500 Стандартный 	4110"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-3500 Расширенный 	4112"
"SASE (SDWAN/NGFW)	Kaspersky NGFW vKX-8 Стандартный 	4115"
"SASE (SDWAN/NGFW)	Kaspersky NGFW vKX-8 Расширенный 	4116"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-1000 Стандартный 	4124"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-1000 Расширенный 	4125"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-400 Стандартный 	4126"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-400 Расширенный 	4137"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-100 Стандартный 	4138"
"SASE (SDWAN/NGFW)	Kaspersky NGFW KX-100 Расширенный 	4139"
"SASE (SDWAN/NGFW)	Kaspersky NGFW Log Analyzer 	4140"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 30 Mbps 	4233"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 50 Mbps 	4234"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 100 Mbps 	4235"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 300 Mbps 	4236"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 500 Mbps 	4237"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 1 Gbps 	4238"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Standard для CPE 10 Gbps 	4239"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 30 Mbps 	4240"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 50 Mbps 	4241"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 100 Mbps 	4242"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 300 Mbps 	4243"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 500 Mbps 	4244"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 1 Gbps 	4245"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN Advanced для CPE 10 Gbps 	4246"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 30 Mbps	4420"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 50 Mbps	4421"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 100 Mbps	4422"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 300 Mbps	4423"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 500 Mbps	4424"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 1 Gbps	4425"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Standard для CPE 10 Gbps	4426"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 30 Mbps	4427"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 50 Mbps	4428"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 100 Mbps	4429"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 300 Mbps	4430"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 500 Mbps	4431"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 1 Gbps	4432"
"SASE (SDWAN/NGFW)	Kaspersky SD-WAN GOST Advanced для CPE 10 Gbps	4433"
